PeTe batch test script
BAwPC.pet,	Too Many Tokens?,	Ordered DFS with Monotonicity,	Satisfied,	0,	0,	0,	0, 	0, 	0,	44116
Enhanced-BAwCC.pet,	Too Many Tokens?,	Ordered DFS with Monotonicity,	Satisfied,	0,	0,	0,	0, 	0, 	0,	44116
Enhanced-BAwPC.pet,	Too Many Tokens?,	Ordered DFS with Monotonicity,	Satisfied,	0,	0,	0,	0, 	0, 	0,	44116
BAwCC.pet,	Too Many Tokens?,	Ordered DFS State with Monotonicity,	Satisfied,	0,	0,	0,	0, 	0, 	0,	44116
BAwPC.pet,	Too Many Tokens?,	Ordered DFS State with Monotonicity,	Satisfied,	0,	0,	0,	0, 	0, 	0,	44116
Enhanced-BAwCC.pet,	Too Many Tokens?,	Ordered DFS State with Monotonicity,	Satisfied,	0,	0,	0,	0, 	0, 	0,	44116
Enhanced-BAwPC.pet,	Too Many Tokens?,	Ordered DFS State with Monotonicity,	Satisfied,	0,	0,	0,	0, 	0, 	0,	44116
BAwCC.pet,	Too Many Tokens?,	Ordered DFS Bool with Monotonicity,	Satisfied,	0,	0,	0,	0, 	0, 	0,	44116
BAwPC.pet,	Too Many Tokens?,	Ordered DFS Bool with Monotonicity,	Satisfied,	0,	0,	0,	0, 	0, 	0,	44116
Enhanced-BAwCC.pet,	Too Many Tokens?,	Ordered DFS Bool with Monotonicity,	Satisfied,	0,	0,	0,	0, 	0, 	0,	44116
Enhanced-BAwPC.pet,	Too Many Tokens?,	Ordered DFS Bool with Monotonicity,	Satisfied,	0,	0,	0,	0, 	0, 	0,	44116
PeTe error, returned: -11,	44116
PeTe error, returned: -11,	44116
Enhanced-BAwCC.pet,	Too Many Tokens?,	Ordered BestFS with Monotonicity,	Not satisfiable,	0.13,	71,	70,	0, 	390, 	7,	44116
Enhanced-BAwPC.pet,	Too Many Tokens?,	Ordered BestFS with Monotonicity,	Not satisfiable,	0.1,	39,	38,	0, 	163, 	1,	44116
BAwCC.pet,	PARTICIPANT invalid?,	Naive DFS with Hash,	Satisfied,	0.22,	32,	37,	6, 	385, 	0,	44116
BAwPC.pet,	PARTICIPANT invalid?,	Naive DFS with Hash,	Satisfied,	0.19,	32,	37,	6, 	385, 	0,	44116
Enhanced-BAwCC.pet,	PARTICIPANT invalid?,	Naive DFS with Hash,	Not satisfiable,	0.25,	121,	120,	0, 	628, 	0,	44116
Enhanced-BAwPC.pet,	PARTICIPANT invalid?,	Naive DFS with Hash,	Not satisfiable,	0.22,	60,	59,	0, 	238, 	0,	44116
BAwCC.pet,	PARTICIPANT invalid?,	Naive BFS with Hash,	Satisfied,	0.21,	40,	76,	5, 	199, 	0,	44288
BAwPC.pet,	PARTICIPANT invalid?,	Naive BFS with Hash,	Satisfied,	0.18,	28,	54,	5, 	126, 	0,	44116
Enhanced-BAwCC.pet,	PARTICIPANT invalid?,	Naive BFS with Hash,	Not satisfiable,	0.25,	121,	120,	0, 	628, 	0,	44116
Enhanced-BAwPC.pet,	PARTICIPANT invalid?,	Naive BFS with Hash,	Not satisfiable,	0.21,	60,	59,	0, 	238, 	0,	44116
BAwCC.pet,	PARTICIPANT invalid?,	DFS with Monotonicity,	Satisfied,	0.2,	10,	26,	6, 	135, 	3,	44116
BAwPC.pet,	PARTICIPANT invalid?,	DFS with Monotonicity,	Satisfied,	0.17,	21,	43,	6, 	242, 	0,	44116
Enhanced-BAwCC.pet,	PARTICIPANT invalid?,	DFS with Monotonicity,	Not satisfiable,	0.24,	77,	79,	0, 	409, 	13,	44116
Enhanced-BAwPC.pet,	PARTICIPANT invalid?,	DFS with Monotonicity,	Not satisfiable,	0.21,	38,	37,	0, 	160, 	0,	44116
BAwCC.pet,	PARTICIPANT invalid?,	BFS with Monotonicity,	Satisfied,	0.22,	43,	80,	6, 	223, 	10,	44116
BAwPC.pet,	PARTICIPANT invalid?,	BFS with Monotonicity,	Satisfied,	0.18,	26,	51,	6, 	127, 	5,	44116
Enhanced-BAwCC.pet,	PARTICIPANT invalid?,	BFS with Monotonicity,	Not satisfiable,	0.28,	80,	90,	0, 	425, 	16,	44116
Enhanced-BAwPC.pet,	PARTICIPANT invalid?,	BFS with Monotonicity,	Not satisfiable,	0.21,	39,	42,	0, 	163, 	1,	44116
BAwCC.pet,	PARTICIPANT invalid?,	DFS States with Monotonicity,	Satisfied,	0.19,	10,	26,	6, 	135, 	3,	44116
BAwPC.pet,	PARTICIPANT invalid?,	DFS States with Monotonicity,	Satisfied,	0.18,	21,	43,	6, 	242, 	0,	44116
Enhanced-BAwCC.pet,	PARTICIPANT invalid?,	DFS States with Monotonicity,	Not satisfiable,	0.24,	77,	79,	0, 	409, 	13,	44116
Enhanced-BAwPC.pet,	PARTICIPANT invalid?,	DFS States with Monotonicity,	Not satisfiable,	0.2,	38,	37,	0, 	160, 	0,	44116
BAwCC.pet,	PARTICIPANT invalid?,	DFS Bools with Monotonicity,	Satisfied,	0.2,	16,	30,	7, 	89, 	0,	44116
BAwPC.pet,	PARTICIPANT invalid?,	DFS Bools with Monotonicity,	Satisfied,	0.16,	10,	18,	6, 	49, 	0,	44116
Enhanced-BAwCC.pet,	PARTICIPANT invalid?,	DFS Bools with Monotonicity,	Not satisfiable,	0.25,	65,	72,	0, 	358, 	1,	44116
Enhanced-BAwPC.pet,	PARTICIPANT invalid?,	DFS Bools with Monotonicity,	Not satisfiable,	0.21,	39,	38,	0, 	163, 	1,	44116
BAwCC.pet,	PARTICIPANT invalid?,	BestFS with Hash,	Satisfied,	0.1,	8,	24,	8, 	47, 	0,	44116
BAwPC.pet,	PARTICIPANT invalid?,	BestFS with Hash,	Satisfied,	0.09,	46,	57,	7, 	410, 	0,	44116
Enhanced-BAwCC.pet,	PARTICIPANT invalid?,	BestFS with Hash,	Not satisfiable,	0.12,	121,	120,	0, 	628, 	0,	44116
Enhanced-BAwPC.pet,	PARTICIPANT invalid?,	BestFS with Hash,	Not satisfiable,	0.11,	60,	59,	0, 	238, 	0,	44116
BAwCC.pet,	PARTICIPANT invalid?,	BestFS with Monotonicity,	Satisfied,	0.1,	7,	24,	8, 	47, 	1,	44116
BAwPC.pet,	PARTICIPANT invalid?,	BestFS with Monotonicity,	Satisfied,	0.09,	17,	40,	7, 	126, 	9,	44116
Enhanced-BAwCC.pet,	PARTICIPANT invalid?,	BestFS with Monotonicity,	Not satisfiable,	0.16,	71,	70,	0, 	390, 	7,	44116
Enhanced-BAwPC.pet,	PARTICIPANT invalid?,	BestFS with Monotonicity,	Not satisfiable,	0.1,	39,	38,	0, 	163, 	1,	44116
BAwCC.pet,	PARTICIPANT invalid?,	Ordered Largest Index Search with Monotonicity,	Satisfied,	0.19,	6,	21,	7, 	39, 	1,	44116
BAwPC.pet,	PARTICIPANT invalid?,	Ordered Largest Index Search with Monotonicity,	Satisfied,	0.17,	5,	16,	6, 	29, 	1,	44116
Enhanced-BAwCC.pet,	PARTICIPANT invalid?,	Ordered Largest Index Search with Monotonicity,	Not satisfiable,	0.24,	68,	70,	0, 	374, 	4,	44116
Enhanced-BAwPC.pet,	PARTICIPANT invalid?,	Ordered Largest Index Search with Monotonicity,	Not satisfiable,	0.2,	39,	38,	0, 	163, 	1,	44116
BAwCC.pet,	PARTICIPANT invalid?,	Ordered BFS with Monotonicity,	Satisfied,	0.21,	43,	80,	6, 	223, 	8,	44116
BAwPC.pet,	PARTICIPANT invalid?,	Ordered BFS with Monotonicity,	Satisfied,	0.18,	26,	51,	6, 	127, 	5,	44608
Enhanced-BAwCC.pet,	PARTICIPANT invalid?,	Ordered BFS with Monotonicity,	Not satisfiable,	0.23,	80,	90,	0, 	425, 	13,	44116
Enhanced-BAwPC.pet,	PARTICIPANT invalid?,	Ordered BFS with Monotonicity,	Not satisfiable,	0.19,	39,	42,	0, 	163, 	1,	44116
BAwCC.pet,	PARTICIPANT invalid?,	Ordered DFS with Monotonicity,	Satisfied,	0.19,	10,	26,	6, 	135, 	3,	44116
BAwPC.pet,	PARTICIPANT invalid?,	Ordered DFS with Monotonicity,	Satisfied,	0.17,	21,	43,	6, 	242, 	0,	44116
Enhanced-BAwCC.pet,	PARTICIPANT invalid?,	Ordered DFS with Monotonicity,	Not satisfiable,	0.22,	77,	79,	0, 	409, 	13,	44116
Enhanced-BAwPC.pet,	PARTICIPANT invalid?,	Ordered DFS with Monotonicity,	Not satisfiable,	0.21,	38,	37,	0, 	160, 	0,	44116
BAwCC.pet,	PARTICIPANT invalid?,	Ordered DFS State with Monotonicity,	Satisfied,	0.21,	10,	26,	6, 	135, 	3,	44116
BAwPC.pet,	PARTICIPANT invalid?,	Ordered DFS State with Monotonicity,	Satisfied,	0.17,	21,	43,	6, 	242, 	0,	44116
Enhanced-BAwCC.pet,	PARTICIPANT invalid?,	Ordered DFS State with Monotonicity,	Not satisfiable,	0.23,	77,	79,	0, 	409, 	13,	44116
Enhanced-BAwPC.pet,	PARTICIPANT invalid?,	Ordered DFS State with Monotonicity,	Not satisfiable,	0.2,	38,	37,	0, 	160, 	0,	44116
BAwCC.pet,	PARTICIPANT invalid?,	Ordered DFS Bool with Monotonicity,	Satisfied,	0.2,	10,	26,	6, 	135, 	3,	44116
BAwPC.pet,	PARTICIPANT invalid?,	Ordered DFS Bool with Monotonicity,	Satisfied,	0.17,	21,	43,	6, 	242, 	0,	44116
Enhanced-BAwCC.pet,	PARTICIPANT invalid?,	Ordered DFS Bool with Monotonicity,	Not satisfiable,	0.24,	77,	79,	0, 	409, 	13,	44116
Enhanced-BAwPC.pet,	PARTICIPANT invalid?,	Ordered DFS Bool with Monotonicity,	Not satisfiable,	0.21,	38,	37,	0, 	160, 	0,	44116
BAwCC.pet,	PARTICIPANT invalid?,	Ordered BestFS with Monotonicity,	Satisfied,	0.1,	7,	24,	8, 	47, 	1,	44116
BAwPC.pet,	PARTICIPANT invalid?,	Ordered BestFS with Monotonicity,	Satisfied,	0.09,	17,	40,	7, 	126, 	4,	44116
Enhanced-BAwCC.pet,	PARTICIPANT invalid?,	Ordered BestFS with Monotonicity,	Not satisfiable,	0.14,	71,	70,	0, 	390, 	7,	44116
Enhanced-BAwPC.pet,	PARTICIPANT invalid?,	Ordered BestFS with Monotonicity,	Not satisfiable,	0.11,	39,	38,	0, 	163, 	1,	44116
BAwCC.pet,	COORDINATOR invalid?,	Naive DFS with Hash,	Satisfied,	0.21,	634,	639,	6, 	6864, 	0,	44116
BAwPC.pet,	COORDINATOR invalid?,	Naive DFS with Hash,	Satisfied,	0.18,	82,	90,	9, 	829, 	0,	41868
Enhanced-BAwCC.pet,	COORDINATOR invalid?,	Naive DFS with Hash,	Satisfied,	0.25,	55,	64,	10, 	277, 	0,	44116
Enhanced-BAwPC.pet,	COORDINATOR invalid?,	Naive DFS with Hash,	Not satisfiable,	0.22,	60,	59,	0, 	238, 	0,	44116
BAwCC.pet,	COORDINATOR invalid?,	Naive BFS with Hash,	Satisfied,	0.21,	55,	112,	5, 	304, 	0,	44288
BAwPC.pet,	COORDINATOR invalid?,	Naive BFS with Hash,	Satisfied,	0.19,	43,	87,	5, 	226, 	0,	44116
Enhanced-BAwCC.pet,	COORDINATOR invalid?,	Naive BFS with Hash,	Satisfied,	0.25,	83,	91,	7, 	396, 	0,	44116
Enhanced-BAwPC.pet,	COORDINATOR invalid?,	Naive BFS with Hash,	Not satisfiable,	0.22,	60,	59,	0, 	238, 	0,	44116
BAwCC.pet,	COORDINATOR invalid?,	DFS with Monotonicity,	Satisfied,	0.21,	35,	68,	6, 	351, 	9,	44116
BAwPC.pet,	COORDINATOR invalid?,	DFS with Monotonicity,	Satisfied,	0.17,	5,	18,	9, 	77, 	0,	44116
Enhanced-BAwCC.pet,	COORDINATOR invalid?,	DFS with Monotonicity,	Satisfied,	0.24,	39,	48,	10, 	215, 	9,	44116
Enhanced-BAwPC.pet,	COORDINATOR invalid?,	DFS with Monotonicity,	Not satisfiable,	0.21,	38,	37,	0, 	160, 	0,	44116
BAwCC.pet,	COORDINATOR invalid?,	BFS with Monotonicity,	Satisfied,	0.22,	36,	66,	5, 	185, 	7,	44116
BAwPC.pet,	COORDINATOR invalid?,	BFS with Monotonicity,	Satisfied,	0.17,	24,	45,	5, 	115, 	4,	44116
Enhanced-BAwCC.pet,	COORDINATOR invalid?,	BFS with Monotonicity,	Satisfied,	0.26,	60,	74,	7, 	299, 	13,	44116
Enhanced-BAwPC.pet,	COORDINATOR invalid?,	BFS with Monotonicity,	Not satisfiable,	0.22,	39,	42,	0, 	163, 	1,	44116
BAwCC.pet,	COORDINATOR invalid?,	DFS States with Monotonicity,	Satisfied,	0.21,	35,	68,	6, 	351, 	9,	44116
BAwPC.pet,	COORDINATOR invalid?,	DFS States with Monotonicity,	Satisfied,	0.18,	5,	18,	9, 	77, 	0,	44116
Enhanced-BAwCC.pet,	COORDINATOR invalid?,	DFS States with Monotonicity,	Satisfied,	0.23,	39,	48,	10, 	215, 	9,	44116
